ID,Name,Kategorie,Dateiname,Prompt,Status,Drive URL
1,Julius Caesar,antike-historisch,julius-caesar,"Roman general Julius Caesar, laurel wreath crown, right arm raised pointing forward in commanding gesture, roman breastplate armor with red cape, sharp authoritative gaze directly at viewer. Background: ancient roman forum, marble columns, golden sunset sky, toga-clad crowd silhouettes. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
2,Alexander der Große,antike-historisch,alexander-der-grosse,"Alexander the Great, macedonian sun-burst helmet, both arms slightly spread in heroic victorious stance, golden gleaming cuirass, young determined face gazing forward. Background: ancient roman forum, marble columns, golden sunset sky, crowd silhouettes. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
3,Hannibal Barca,antike-historisch,hannibal-barca,"Hannibal Barca carthaginian general, right fist raised in battle command, bronze helmet, dark fierce eyes forward, elephant silhouette faintly visible at shoulder. Background: ancient roman forum, marble columns, golden sunset sky, crowd silhouettes. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
4,Perikles,antike-historisch,perikles,"Pericles of Athens, distinctive high-dome corinthian helmet pushed back, right arm raised in oratory gesture, scroll held in left hand, wise calm face looking forward. Background: ancient roman forum, marble columns, golden sunset sky, crowd silhouettes. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
5,Leonidas I.,antike-historisch,leonidas,"Leonidas king of Sparta, full spartan bronze helmet with tall red horsehair crest, round shield on left arm facing viewer, spear in right hand, stoic defiant gaze forward, crimson spartan cape. Background: ancient roman forum, marble columns, golden sunset sky, crowd silhouettes. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
6,Achilles,antike-mythologie,achilles,"Achilles greek hero, gleaming divine golden armor, spear raised high above with right hand in battle-cry pose, left fist at chest, fierce burning eyes looking directly forward. Background: ancient troy stone walls with distant flames, dark heroic battle clouds, mythological atmosphere. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
7,Hektor,antike-mythologie,hektor,"Hector defender of Troy, noble trojan helmet with plume, left arm raised with round shield as protective gesture, sword at side, kind resolute face looking forward. Background: ancient troy stone walls with distant flames, dark heroic battle clouds, mythological atmosphere. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
8,Odysseus,antike-mythologie,odysseus,"Odysseus cunning strategist, weathered sailor's leather armor, both hands slightly raised in clever gesture, knowing smirk, sharp analytical eyes forward, rope coiled at shoulder. Background: ancient troy stone walls with distant flames, dark heroic battle clouds, mythological atmosphere. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
9,Karl der Große,mittelalter,karl-der-grosse,"Charlemagne medieval emperor, ornate iron crown, holding golden orb in right hand and scepter in left, long grey beard, imposing fur-trimmed royal mantle, wise aged face forward. Background: dark stone castle interior, flickering torch sconces, moonlight through arched gothic window. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
10,Dschingis Khan,mittelalter,dschingis-khan,"Genghis Khan mongol emperor, fur-lined battle helmet, both arms crossed powerfully over chest in dominant conquerer stance, piercing dark eyes forward, nomad warrior armor, strong cheekbones. Background: dark stone castle interior, flickering torch sconces, moonlight through arched gothic window. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
